Visit_ID,Guest_ID,Visitor,spot,title,uri
21967.0,21967.0,"Bertoud j., Hr. Merian f 2. von Basel.",Merian,Matthäus Merian,http://de.wikipedia.org/wiki/Matth%C3%A4us_Merian
21968.0,21968.0,Purry de Neufchatel.,de Neufchatel,Jean I. de Neufchâtel,http://de.wikipedia.org/wiki/Jean_I._de_Neufch%C3%A2tel
21970.0,21970.0,Hr. Arnholdt von Heilbronn Muff. f 54,Arnholdt,Bernd Arnholdt,http://de.wikipedia.org/wiki/Bernd_Arnholdt
21976.0,21976.0,4 Fillinger Musicanten.,Fillinger,Franz Fillinger,http://de.wikipedia.org/wiki/Franz_Fillinger
21983.0,21983.0,"Barth. Stufli, Hr Laager von Glarus.",Barth,Karl Barth,http://de.wikipedia.org/wiki/Karl_Barth
21988.0,21988.0,"Hr. Bayha Mahler von Stuttgardt,",Bayha,Richard Bayha,http://de.wikipedia.org/wiki/Richard_Bayha
21989.0,21989.0,Hr. Michael Grüniger von Lachen f. 2.,Grüniger,Augustin Grüniger,http://de.wikipedia.org/wiki/Augustin_Gr%C3%BCniger
21992.0,21992.0,Hr. Heinrich Müller aus der Stilli f. 21.,Heinrich Müller,"Heinrich Müller (Theologe, 1631)",http://de.wikipedia.org/wiki/Heinrich_M%C3%BCller_%28Theologe%2C_1631%29
21993.0,21993.0,"Morell de Savoye f. 2. 12 Landl,",Morell,Andreas Morell,http://de.wikipedia.org/wiki/Andreas_Morell
21999.0,21999.0,Hr. Joseph Schmid von Hitzkirch f. 2.,Joseph Schmid,Joseph Schmid (Bildhauer),http://de.wikipedia.org/wiki/Joseph_Schmid_%28Bildhauer%29
22003.0,22003.0,Bernoul j. Hr. Merian f 2. von Basel.,Merian,Matthäus Merian,http://de.wikipedia.org/wiki/Matth%C3%A4us_Merian
22004.0,22004.0,"Purry de Neufchatel,",de Neufchatel,Jean I. de Neufchâtel,http://de.wikipedia.org/wiki/Jean_I._de_Neufch%C3%A2tel
22008.0,22008.0,Hr. Arnholdt von Heilbrunn Mufi. f. 5.,Arnholdt,Bernd Arnholdt,http://de.wikipedia.org/wiki/Bernd_Arnholdt
22011.0,22011.0,"Jacob Mayer von Baltenschweil,",Jacob Mayer,Jacob Mayer (Fabrikant),http://de.wikipedia.org/wiki/Jacob_Mayer_%28Fabrikant%29
22016.0,22016.0,4 Fillinger Muficanten.,Fillinger,Franz Fillinger,http://de.wikipedia.org/wiki/Franz_Fillinger
22030.0,22030.0,"Hr, Bayha Mahler von Stuttgardt.",Bayha,Richard Bayha,http://de.wikipedia.org/wiki/Richard_Bayha
22034.0,22034.0,"Hr, Berchtold aus Tyrol*",Berchtold,Leopold Berchtold,http://de.wikipedia.org/wiki/Leopold_Berchtold
22035.0,22035.0,Morell de Savoye f. 2. 4 Landl.,Morell,Andreas Morell,http://de.wikipedia.org/wiki/Andreas_Morell
22046.0,22046.0,Hr. Arnholdt von Heilbronn Mufi. f. 5.,Arnholdt,Bernd Arnholdt,http://de.wikipedia.org/wiki/Bernd_Arnholdt
22057.0,22057.0,4 Fillinger Muficanten.,Fillinger,Franz Fillinger,http://de.wikipedia.org/wiki/Franz_Fillinger
22062.0,22062.0,Jacob Meyer aus dem Müenthal.,Jacob Meyer,Jacob Meyer,http://de.wikipedia.org/wiki/Jacob_Meyer
22069.0,22069.0,Hr. Bayha Mahler von Stuttgardt.,Bayha,Richard Bayha,http://de.wikipedia.org/wiki/Richard_Bayha
22081.0,22081.0,Gürler von Basel.,Gürler,Faruk Gürler,http://de.wikipedia.org/wiki/Faruk_G%C3%BCrler
22085.0,22085.0,Hr. Arnholdt von Heilbrunn Mufi. f. 5.,Arnholdt,Bernd Arnholdt,http://de.wikipedia.org/wiki/Bernd_Arnholdt
22091.0,22091.0,Mr. Joh. Maria Pizzala de Mylan,Pizzala,Caroline Pizzala,http://de.wikipedia.org/wiki/Caroline_Pizzala
22092.0,22092.0,4 Fillinger Muficanten.,Fillinger,Franz Fillinger,http://de.wikipedia.org/wiki/Franz_Fillinger
22108.0,22108.0,Hr. Bayha Mahler von Stuttgardt.,Bayha,Richard Bayha,http://de.wikipedia.org/wiki/Richard_Bayha
22123.0,22123.0,"Stähelin, - Hr. Uster von Basel.",Stähelin,Andreas Staehelin,http://de.wikipedia.org/wiki/Andreas_Staehelin
22124.0,22124.0,Büchler Inspector von Lottiftetten.,Büchler,Julia Büchler,http://de.wikipedia.org/wiki/Julia_B%C3%BCchler
22125.0,22125.0,Hr. Arnholdt von Heilbrunn Mufi. f. 5.,Arnholdt,Bernd Arnholdt,http://de.wikipedia.org/wiki/Bernd_Arnholdt
22134.0,22134.0,"Franz Schneider von Willsau f. 2,",Franz Schneider,Franz Schneider (Schauspieler),http://de.wikipedia.org/wiki/Franz_Schneider_%28Schauspieler%29
22140.0,22140.0,Ludwig Fischer von Mutterschwand.,Ludwig Fischer,Ludwig Fischer (Jurist),http://de.wikipedia.org/wiki/Ludwig_Fischer_%28Jurist%29
22143.0,22143.0,Hr. Bayha Mahler von Stuttgardt.,Bayha,Richard Bayha,http://de.wikipedia.org/wiki/Richard_Bayha
22150.0,22150.0,Joseph Schmid von Hitzkirch f. 2.,Joseph Schmid,Joseph Schmid (Bildhauer),http://de.wikipedia.org/wiki/Joseph_Schmid_%28Bildhauer%29
22159.0,22159.0,Ritz von St Gallen. Hr. Stähelin von Basel.,Stähelin,Andreas Staehelin,http://de.wikipedia.org/wiki/Andreas_Staehelin
22163.0,22163.0,Ernst von Arau Hr. Lumpert aus Tyrol.,Lumpert,Anton Lumpert,http://de.wikipedia.org/wiki/Anton_Lumpert
22165.0,22165.0,Hr. Arnholdt von Heilbrunn Mufi. f. 5.,Arnholdt,Bernd Arnholdt,http://de.wikipedia.org/wiki/Bernd_Arnholdt
22183.0,22183.0,Jacob Reich von Sax 2 Handw.,Jacob Reich,Jacob Reich,http://de.wikipedia.org/wiki/Jacob_Reich
22184.0,22184.0,Hr. Bayha Mahler von Stuttgardt.,Bayha,Richard Bayha,http://de.wikipedia.org/wiki/Richard_Bayha
22186.0,22186.0,Hr Michael Grüniger von Lachen f. 2.,Grüniger,Augustin Grüniger,http://de.wikipedia.org/wiki/Augustin_Gr%C3%BCniger
22197.0,22197.0,Ritz von St Gallen. Hr. Stähelin von Basel.,Stähelin,Andreas Staehelin,http://de.wikipedia.org/wiki/Andreas_Staehelin
22200.0,22200.0,Ernst von Arau Hr. Lumpert aus Tyrol.,Lumpert,Anton Lumpert,http://de.wikipedia.org/wiki/Anton_Lumpert
22201.0,22201.0,Pfiffer von Constanz 2 Schwaben.,Pfiffer,Joseph Pfiffer,http://de.wikipedia.org/wiki/Joseph_Pfiffer
22202.0,22202.0,Peyrot de Geneve.,Peyrot,Adrien Peyrot,http://de.wikipedia.org/wiki/Adrien_Peyrot
22203.0,22203.0,Hr. Arnholdt von Heilbrunn Musi. f. 5.,Arnholdt,Bernd Arnholdt,http://de.wikipedia.org/wiki/Bernd_Arnholdt
22206.0,22206.0,Hr Rall von Oehningen f. 2.,Rall,Günther Rall,http://de.wikipedia.org/wiki/G%C3%BCnther_Rall
22223.0,22223.0,Jacob Kern von Müllen.,Jacob Kern,Jacob Kern,http://de.wikipedia.org/wiki/Jacob_Kern
22224.0,22224.0,Hr. Bayha Mahler von Stuttgardt.,Bayha,Richard Bayha,http://de.wikipedia.org/wiki/Richard_Bayha
22228.0,22228.0,Mr. Morell de Savoye.,Morell,Andreas Morell,http://de.wikipedia.org/wiki/Andreas_Morell
22236.0,22236.0,Peyrot de Geneve.,Peyrot,Adrien Peyrot,http://de.wikipedia.org/wiki/Adrien_Peyrot
22238.0,22238.0,"Guillebert, Mr. Meuron de Neufchatel",de Neufchatel,Jean I. de Neufchâtel,http://de.wikipedia.org/wiki/Jean_I._de_Neufch%C3%A2tel
22239.0,22239.0,Hr. Arnholdt von Heilbrunn Mufi. f. 5.,Arnholdt,Bernd Arnholdt,http://de.wikipedia.org/wiki/Bernd_Arnholdt
22253.0,22253.0,Joh Büchel von Strasburg.,Büchel,Lars Büchel,http://de.wikipedia.org/wiki/Lars_B%C3%BCchel
22260.0,22260.0,Fr. Bayha Mahler von Stuttgardt.,Bayha,Richard Bayha,http://de.wikipedia.org/wiki/Richard_Bayha
22269.0,22269.0,Peyrot de Geneve.,Peyrot,Adrien Peyrot,http://de.wikipedia.org/wiki/Adrien_Peyrot
22271.0,22271.0,"Guillebert, Mr. Meuron de Neufchatel.",de Neufchatel,Jean I. de Neufchâtel,http://de.wikipedia.org/wiki/Jean_I._de_Neufch%C3%A2tel
