Visitor,Occurrences
rieber von ebingen,2
engler von sulgen,2
de stoutoni de grison f 3,2
rudolph von zurzach,2
hr joh merz von kayſersheim ſ 9,2
xaverj andreiſlj von steiflingen ſ 5 muſ,2
hr michael kern von bamberg f 3 muse,2
dominico linggi von schweiz,2
hechner von reyh,2
raeft von ertfein,2
dürrmüller von st gallen,2
edelmann von cappel,2
2 herren gaenfle von willhausen,2
mr chriſtoff caſſi di bergamo ſ 4,2
fasane de luggarus,2
1 handw 4 landl,2
michael ekarbt aus tyrol f 5,2
7 klingnauer fuhrmannen,2
gronau candidat von berlin,2
brentano von rapperschweil,2
le comte de pac aus pohlen,2
richard cathol geistl de nancy f 4,2
ein kutscher von haubtweil,2
imsonn aus tyrol,2
bille de montgni capitaine en france,2
wunibald endrers von conftanz,2
wilhelm etter von scherzingen f 2,2
hefftj hr laager von glarus f 6,2
elisabetha weishöpfy von herisau,2
ulrich hauffmann von stekborren,2
schiffmann diechelm von lachen f 2,2
ulrich frommherz von gehrweil f 2,2
hegner hr rathsherr sulzer hr stadtchrb,2
bella von strassburg,2
hr daniel danielis v feldkirch f 2,2
magdal keller von baaden,2
mr bastard de straßburg,2
hr pater wandermer von rheinau f 3,2
hr grossmann von augspurg,2
jacob hunziker von lenzburg,2
ruthishauser von bottikoffen,2
muoser von augen,2
2 schmelker schiffleuth,2
hr meyer von bern,2
oberpfleger witzigman beyde v constanz,2
hr chaam f 8 von glarus,2
4 ungarrer,2
schwarzenberger von lucern f 2,2
hennig de neufchatel,2
lozbek von straiburg,2
michel grüniger von lachen f 4,2
bühler von glarus f 2,2
spengeler von arau,2
fuchs von lucern f 2,2
le marquis cingalinj de mylan,2
haufeler hr stähelin von basel f 2,2
xaverj schweitzer von wurmlingen f 2,2
jmhoff v bremgarten hr unterkircher v tyrol,2
baron tschudj von zurzach,2
jacob ammann von herisau,2
hr joseph schmid v hizkirch,2
fehr von frauenfeld,2
maria bringmann von weiblingen,2
stoll von pfeffenhoffen,2
georg berringer von hagstetren,2
hr marc schweikofier von augfpurg mufi,2
fried herbst von gechingen,2
amtm helbling hr stadtschrbr breger v rappersch,2
huber von diessenhoffen,2
hr elmer hr luchfinger f 3 von glarus,2
pfr eglinger und frau usohn,2
hr bernhardt weber von schaffhausen f 2,2
ein st galler fuhrmann,2
mr delosea de morat,2
brix aus böhmen f 2 5 muficanten,2
1 schwab    4 handw    4 landl,2
joh traber von frauenfeld f 3,2
hr lucas beutel von altftetten,2
2 französischer recroüt,2
elisab kreiner von speicher,2
andreas uel von oettingen,2
rietter von winterthur,2
madm trefslerin von ludwigsburg,2
theresia schweitzer von wurmlingen f 2,2
mr borell de geneve hr iselin von basel,2
spiegel von rapperschweil,2
hr layer von colmar f 2,2
procurator locherer von frauenfeld,2
mr michelletti di bilincona dentist,2
hr zopfi f 6 von glarus,2
kübli von glarus,2
1 landl 1 handw,2
de larozierre damiens,2
claube toutlieu de st etienne,2
2 schwaben 2 handw,2
legler von glarus,2
georg grill von ehingen,2
4 landl 1 handw,2
fassanno de siena,2
landvogt henry aus bündten,2
hr tschan von lucern,2
hr joh friedrich tschiffeli von ebingen,2
ulrich fehr von duttweil f 2,2
schär von münlisweil,2
hr martin glashändler aus böhmen,2
wenck hr zurcher von basel,2
voltz von frankfuhrt,2
amts schultheifs hegner hr rathsherr,2
curchot de geneve,2
mival de genes,2
hauptm bar v rothenthal in kayf dienften,2
amb anfelmalz von dillingen,2
michelletti di bilincona dentist,2
wolf von mülhausen,2
jof stirnimann von rheiden f 2    4 landl,2
dominico pitzala de mylan f 3,2
lötzleck von lahr,2
mr andré caffati f 4 de milan,2
wydemann aus tyrol,2
marianne mofiner v schafhausen 6 landl,2
xaveri schweitzer von wurmlingen f 2,2
joh heuffler von rapperfchweil,2
mouguet de besançon,2
jacob peter von frauenfeld,2
hr real hr rädelmayer von regenburg f 2,2
krauss virtuos von ulm,2
theiler von lachen,2
rofina steinerin von balingen,2
ammann keffelring von märftetten,2
g gaud de neufchatel,2
hr däppeler von tägerfelden f 3,2
mathias steiger von flaweil,2
faßanne di lucarno,2
hr joh jürg von munterkingen f 4,2
gebrüdere bel von lucern,2
landammann gachet von frauenfeld,2
hr brünelli hr wenk von lachen,2
hr mettich von straßburg,2
ikr obervogt balthasar von griesenberg,2
schultheifs hefsling    hr stadtfchreiber brettr,2
hr jof eichinger aus der pfalz,2
hr eggertscheiler von wangen,2
rathsherr mäschly von murj,2
jofeph egglj von mümlischweil,2
hr franz schmid aus entlibuch,2
cathar roingerin von solothurn,2
ambühl von wattweil,2
joh von guthen von thun,2
roux mr gutta de geneve,2
georg geng von betterkingen,2
ursula büchlj v bözberg,2
gürter von basel,2
jacob jude von balingen,2
3 schwaben 6 landl 1 handw,2
michel meyer von winterlingen,2
rudolf leser von guntzchweil f 2,2
hr kielmann hr schwarz von müllhausen,2
ritz von st gallen,2
schultheiss fehr von frauenfeld,2
de michel mayor en france,2
r joseph huber von gehrweil,2
bindler von schwäbischgmünd,2
r perrola de savoye f 2,2
hr meyer von lohr,2
susanna jacobin aus dem elsaß,2
wolfgang saurer aus bayern f 2,2
payer von bamberg f 2 muse,2
böhm regim feldwaibel vom regim v muralt,2
cortj salz factor von waldshut,2
heinrich jellsperger von müllhausen f 2,2
lumpert federen händler aus tyrol,2
hr rathsprocurator steiner von winterthur,2
fehr von brugg,2
paffavant hr stern von franckfurt,2
rudolf schlatter von fahrwangen f 2,2
schneider von st gallen f 2,2
rabal citronen händler von dietikon,2
2 turgäüer 3 handw,2
ledergerf von dieffenhoffen,2
pierre marmier de geneve,2
antoine fallame di lucarno,2
hr ott hr luchtinger von glarus,2
joseph witha de mylan,2
pater brunner von wurmspach f 2,2
heinrich friederich von müllheim,2
andreas zulph von tägerfelden,2
mr salvador pizzzala de milan,2
jacob meyer aus dem münsthal f 2,2
ein salz fuhrmann von klingnau,2
3 muficanten aus dem schwabenland,2
mr noel corbassier de savoye f 2,2
jud meyer von hohenembs f 5,2
ulrich zellweger ab gaifs f 2,2
lagger von glarus f 4,2
gottlieb ziegler von backenheim,2
hr mich winckler v sehlettingen f 3,2
frz ant dill von schafhausen,2
margaretha folter von chur,2
anna maria meyer von lucern,2
lüttj von bern,2
joh baptift calandre de valais f 2,2
6 handw,2
joseph arnaud de savoye f 2,2
hr jacob nägelj von atnau f 2,2
1 capaunen haendler von besançon,2
beutlin von brugg,2
antoine passanne di lucarno,2
2 handw 6 landl,2
margaretha meyer von ravenspurg,2
ferdinand schaub von augspurg f 2,2
ulrich wahrenberger von wigoldingen f 2,2
caspar rieber von ebingen f 3,2
joh fischlj von dieffenhoffen s 3,2
osswald weber von menzigen,2
jean veulpillier de savoye f 5,2
hr streutacher von engl,2
hr schmid von stein,2
joh jacob dümerj von basel,2
hänzel aus sachsen,2
morell de savoye 2 landl,2
hugenin aelter von müllhausen f 2,2
joachim geyger von st gallen f 2,2
3 landl 4 handw,2
weiffenbach aus tyrol,2
heinrich hornspan aus weftphalen f 2,2
hr jostliner von hochdorff f 2,2
2 st galler  1 basler fuhrmannen,2
buschenftein von stein f 2,2
menoth de strasburg,2
fornassier de neuchatel,2
hirnel aus dem elſaſſ,2
schlatter von st gallen,2
naeff von altstetten,2
mr calandra de turin,2
moſſu de troyes,2
bonafout von waldtshut f 2,2
hr michael greis von hornhaufen,2
mr pierre rottignon de verdun,2
anton michler von lachen,2
rudolph von zurzach f 2,2
fried vogelsang aus dem vogelsang,2
hr akermann von hentschikon,2
mr andre caffatj f 2 de milan,2
mr andre cassati f 2 de milan,2
cornelius angftmann von berikum,2
huffschmid von niderweil,2
1 glas fuhrmann aus dem schwarzwald,2
jacob böcklj von frauenfeld,2
jacob graffel von augfpurg,2
fisch von herisau f 2,2
hr werner von ebingen f 3,2
jean pierre pfalz von zweybrüken f 3,2
sigmund hoffstetter von reutlingen f 2,2
friederich starr von grechingen,2
hr reheiss aus tyrol,2
hr abraham wehrli von schaffisheim,2
dupleffy de strasburg,2
andreas treiler von strasburg,2
jacob engeler von st gallen,2
hr wepfer von dieffenhoffen f 4,2
mr andré cassati f 4 de milan,2
mr dubois de lausanne,2
hr keusch von merischwanden f 2,2
rathsherr grob hr doctor wirch v liechtensteg,2
meyer von lenzburg,2
2 handw 4 landl,2
hr fischli von diessenhossen f 3,2
büchler von lucern,2
gebrüdere beck von augstahl,2
hr sekelmeister singer hr schultheiß ezweiler,2
stadtschreiber peter hr hauptmann bühl,2
conrad schmid sämtliche von stein,2
jacob naff von heilbrunn f 3,2
hartmann von st gallen f 2,2
procurator fehr von frauenfeld,2
hr stähelin von basel,2
ein hechinger fuhrmann,2
jennj von glarus,2
le conseiller chollet de fryburg,2
hr hessig von glarus f 2,2
hr felix schmidhauser von haubtweil,2
ulrich dietrich von eichberg f 2,2
hr thomas kellart von genff,2
dürr hr hofmann von straßburg,2
4 strasburger fuhrmann,2
vit schmid von bublikon,2
hr jacob berner von lenzburg f 2,2
mr christoff caffe di bergamo f 4,2
mr esmenjaud de moulins f 2 dolle de grenoble,2
berta di belgirate,2
sulzer von basel,2
gerichtsherr brutel von schaffisheim,2
waldstühl von murj f 2 4 pilger,2
hr benjamin wolf von mannheim f 2,2
jos besognier dauvergne,2
14 schwaben 11 landl,2
rupp von stuttgardt,2
weissenbach aus tyrol,2
iselin von basel,2
mourgain de nancy,2
8 landl 1 handw,2
hr greiner von sonnhardt f 2,2
pelegrin de lyon mr lesouef de paris,2
spengler mr hardtmann von lenzburg,2
12 pilger 2 handw,2
hr gebrüdere zum stein v augftahl,2
sulzer von bafel,2
buffe de chalons,2
esmenjeaud de moulins,2
mr le maire de metz hr freyhofer von kirchberg,2
gallier commissaire general de paris,2
grubemann von wettingen,2
tanner von herifau,2
caspar bläsy von glarus,2
anton mächler von altendorff,2
2 handwerker,2
bourgeois diverdon,2
dolle de grenoble,2
borazeo et hoffman von bamberg,2
1 schaffhauser fuhrmann,2
3 landleuth,2
albrecht von genf,2
conftanson mr sanders anglois,2
rudolph bifer von teuffen zellweguer ab gails,2
nännj von herisau,2
albrecht neumann von gloggau f 3,2
hr knufs von winterthur,2
hr jos eggetschweiler von wangen,2
8 schwaben,2
stoll von diefsenhofen,2
leonij suis aus dem entlibuch,2
joh riis von saralben im nassauischen,2
heinfee von düffeldorf,2
noel corbaffier dauvergne,2
ein frankfurter fuhrmann f 2,2
mauritz schächter von altstätten,2
mr maurice mr rignon mr bock de turin,2
mr pascal de bourgogne f 2,2
4 landl 2 handw,2
mazzachelli di gallaretti,2
carlis de modena hr adde von mannheim,2
hr gros von zurzach,2
bederach di chiavenna,2
leonhardt von müllhausen,2
faut von saarbrücken,2
bächtel hr habicht von schaffhaufen,2
hr baron von brandes von hanover,2
bieler von memmingen,2
dollfus rysler von mühlhausen,2
mr raymond kapt hr hanhardt de geneve,2
albrecht mr joly mr de thourres mr lullin,2
bader von schaffhaufen,2
baron von haller fäntliche von nürnberg,2
uhlmann von feurthalen,2
dienast von basel f 4,2
hr kühnhold von nürnberg,2
schufelhofer von alterschweilen,2
5 brisgäuer tuchhändler,2
jaques chanal de befancon,2
albrecht mr john mr bodier de geneve,2
wunshold von straisburg,2
mr delosia de morat,2
arnaud de turin,2
rathsherr ott von schaffhaufen f 5,2
françois monde de nancy f 2,2
ein thurgäuer,2
robin de laufanne,2
cath kellerin von rheinfelden,2
1 französischer sergent  2 recrouten,2
wagner von triefte,2
anton calpino di domodofola f 2,2
et mad maurice von strasbourg,2
4 zurzacher fuhrleuth,2
mr ambrof seretto de milan f 2,2
baron krefs baron von holzfchuher,2
