Visit_ID,Historical Date,Modern Date,Inn,Inn_ID,Visitor,Guest_ID,Filename,date_folder,start,end,spot,confidence,annotationid,title,uri,label,categories,types,alternateLabels,place,person,spot_match
19749.0,20 September 1782,1782-01-20,ADLER,3.0,Maria Bill von Willisau f. 2.,19749.0,4652027.txt,1782-09,295.0,305.0,Maria Bill,0.8717,339497.0,Maria Bill,http://de.wikipedia.org/wiki/Maria_Bill,Maria Bill,"['Filmschauspieler', 'Frau', 'Geboren 1948', 'Kammerschauspieler', 'Karl-Skraup-Preisträger', 'Liedermacher', 'Musiker (Österreich)', 'Nestroypreisträger', 'Popsänger', 'Schweizer', 'Theaterschauspieler', 'Träger der Kainz-Medaille', 'Träger des Goldenen Verdienstzeichens des Landes Wien', 'Édith Piaf']","['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal']",['Maria Bill'],0.0,1.0,1.0
19787.0,22 September 1782,1782-01-22,ROTHHAUS,4.0,Hr. Strasburg. R von Manenbach f. 4. Muff.,19787.0,4652029.txt,1782-09,688.0,692.0,Muff,0.6333,2717349.0,Werner Muff,http://de.wikipedia.org/wiki/Werner_Muff,Werner Muff,"['Geboren 1974', 'Mann', 'Olympiateilnehmer (Schweiz)', 'Reiter (Schweiz)', 'Schweizer', 'Schweizer Meister (Springreiten)', 'Springreiter', 'Teilnehmer der Olympischen Sommerspiele 2012']","['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal']",['Werner Muff'],0.0,1.0,1.0
19806.0,23 September 1782,1782-01-23,SCHWERDT,1.0,"Berthoud de Lyon, 11 Landl.",19806.0,4652031.txt,1782-09,181.0,189.0,Berthoud,0.7722,935331.0,Ferdinand Berthoud,http://de.wikipedia.org/wiki/Ferdinand_Berthoud,Ferdinand Berthoud,"['Enzyklopädist (Encyclopédie)', 'Geboren 1727', 'Gestorben 1807', 'Mann', 'Mitglied der Académie des sciences', 'Uhrmacher']","['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal']","['Ferdinand Berthoud', 'Berthoud']",0.0,1.0,1.0
19834.0,24 September 1782,1782-01-24,SCHWEKUT,105.0,"Berthaud de Lyon,        } 6 Landl.",19834.0,4652033.txt,1782-09,116.0,124.0,Berthaud,0.6248,11587221.0,Fabienne Berthaud,http://de.wikipedia.org/wiki/Fabienne_Berthaud,Fabienne Berthaud,"['Autor', 'Filmregisseur', 'Filmschauspieler', 'Franzose', 'Frau', 'Geboren 1966']","['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal']",['Fabienne Berthaud'],0.0,1.0,1.0
19864.0,25 September 1782,1782-01-25,STORCHEN,2.0,"Hr Ritter von Monheim f. 4, Muff.",19864.0,4652035.txt,1782-09,290.0,294.0,Muff,0.6333,2717349.0,Werner Muff,http://de.wikipedia.org/wiki/Werner_Muff,Werner Muff,"['Geboren 1974', 'Mann', 'Olympiateilnehmer (Schweiz)', 'Reiter (Schweiz)', 'Schweizer', 'Schweizer Meister (Springreiten)', 'Springreiter', 'Teilnehmer der Olympischen Sommerspiele 2012']","['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal']",['Werner Muff'],0.0,1.0,1.0
19869.0,25 September 1782,1782-01-25,ROTHHAUS,4.0,Hr. Strausburger von Manenbach f. 4. Muff.,19869.0,4652035.txt,1782-09,290.0,294.0,Muff,0.6333,2717349.0,Werner Muff,http://de.wikipedia.org/wiki/Werner_Muff,Werner Muff,"['Geboren 1974', 'Mann', 'Olympiateilnehmer (Schweiz)', 'Reiter (Schweiz)', 'Schweizer', 'Schweizer Meister (Springreiten)', 'Springreiter', 'Teilnehmer der Olympischen Sommerspiele 2012']","['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal']",['Werner Muff'],0.0,1.0,1.0
19962.0,29 September 1782,1782-01-29,SCHWERDT,1.0,"Hauptmann Ramer und Frau & 2 Söhne,",19962.0,4652041.txt,1782-09,82.0,91.0,Hauptmann,0.7082,1965.0,Gerhart Hauptmann,http://de.wikipedia.org/wiki/Gerhart_Hauptmann,Gerhart Hauptmann,"['Alfred Kerr', 'Autobiografie', 'Autor', 'Deutscher', 'Drama', 'Ehrenbürger von Breslau', 'Ehrendoktor der Columbia University', 'Ehrendoktor der Karls-Universität', 'Ehrendoktor der University of Oxford', 'Ehrendoktor der Universität Leipzig', 'Ehrenringträger der Stadt Wien', 'Erzählung', 'Geboren 1862', 'Gerhart Hauptmann', 'Gestorben 1946', 'Literatur (19. Jahrhundert)', 'Literatur (20. Jahrhundert)', 'Literatur (Deutsch)', 'Literatur (Schlesisch)', 'Literatur der Neuromantik', 'Literatur des Naturalismus', 'Lyrik', 'Mann', 'Mitglied der American Academy of Arts and Letters', 'Mitglied der Preußischen Akademie der Künste', 'Mitglied der Reichsschrifttumskammer', 'Mitglied der Sonderliste der Unersetzlichen Künstler', 'Mitglied des Pegnesischen Blumenordens', 'Nobelpreisträger für Literatur', 'Novelle', 'Person (Radebeul)', 'Person (Schlesien)', 'Person als Namensgeber für einen Asteroiden', 'Person als Namensgeber für einen Merkurkrater', 'Roman, Epik', 'Träger des Bayerischen Maximiliansordens für Wissenschaft und Kunst', 'Träger des Grillparzer-Preises', 'Träger des Pour le Mérite (Friedensklasse)', 'Träger des Roten Adlerordens 4. Klasse']","['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal']","['Gerhart Hauptmann', 'Hauptmann', 'Hauptmanns', 'Gerhart Hauptmanns', 'Gerhart-Hauptmann-Straße']",0.0,1.0,1.0
20002.0,30 September 1782,1782-01-30,SCHWERDT,1.0,"Hauptmann Römer und Frau & 2 Söhne,",20002.0,4652043.txt,1782-09,82.0,91.0,Hauptmann,0.7069,1965.0,Gerhart Hauptmann,http://de.wikipedia.org/wiki/Gerhart_Hauptmann,Gerhart Hauptmann,"['Alfred Kerr', 'Autobiografie', 'Autor', 'Deutscher', 'Drama', 'Ehrenbürger von Breslau', 'Ehrendoktor der Columbia University', 'Ehrendoktor der Karls-Universität', 'Ehrendoktor der University of Oxford', 'Ehrendoktor der Universität Leipzig', 'Ehrenringträger der Stadt Wien', 'Erzählung', 'Geboren 1862', 'Gerhart Hauptmann', 'Gestorben 1946', 'Literatur (19. Jahrhundert)', 'Literatur (20. Jahrhundert)', 'Literatur (Deutsch)', 'Literatur (Schlesisch)', 'Literatur der Neuromantik', 'Literatur des Naturalismus', 'Lyrik', 'Mann', 'Mitglied der American Academy of Arts and Letters', 'Mitglied der Preußischen Akademie der Künste', 'Mitglied der Reichsschrifttumskammer', 'Mitglied der Sonderliste der Unersetzlichen Künstler', 'Mitglied des Pegnesischen Blumenordens', 'Nobelpreisträger für Literatur', 'Novelle', 'Person (Radebeul)', 'Person (Schlesien)', 'Person als Namensgeber für einen Asteroiden', 'Person als Namensgeber für einen Merkurkrater', 'Roman, Epik', 'Träger des Bayerischen Maximiliansordens für Wissenschaft und Kunst', 'Träger des Grillparzer-Preises', 'Träger des Pour le Mérite (Friedensklasse)', 'Träger des Roten Adlerordens 4. Klasse']","['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal']","['Gerhart Hauptmann', 'Hauptmann', 'Hauptmanns', 'Gerhart Hauptmanns', 'Gerhart-Hauptmann-Straße']",0.0,1.0,1.0
20006.0,30 September 1782,1782-01-30,SCHWERDT,1.0,"Hauptmann Freüler und Sohn von Näfels,",20006.0,4652043.txt,1782-09,82.0,91.0,Hauptmann,0.7069,1965.0,Gerhart Hauptmann,http://de.wikipedia.org/wiki/Gerhart_Hauptmann,Gerhart Hauptmann,"['Alfred Kerr', 'Autobiografie', 'Autor', 'Deutscher', 'Drama', 'Ehrenbürger von Breslau', 'Ehrendoktor der Columbia University', 'Ehrendoktor der Karls-Universität', 'Ehrendoktor der University of Oxford', 'Ehrendoktor der Universität Leipzig', 'Ehrenringträger der Stadt Wien', 'Erzählung', 'Geboren 1862', 'Gerhart Hauptmann', 'Gestorben 1946', 'Literatur (19. Jahrhundert)', 'Literatur (20. Jahrhundert)', 'Literatur (Deutsch)', 'Literatur (Schlesisch)', 'Literatur der Neuromantik', 'Literatur des Naturalismus', 'Lyrik', 'Mann', 'Mitglied der American Academy of Arts and Letters', 'Mitglied der Preußischen Akademie der Künste', 'Mitglied der Reichsschrifttumskammer', 'Mitglied der Sonderliste der Unersetzlichen Künstler', 'Mitglied des Pegnesischen Blumenordens', 'Nobelpreisträger für Literatur', 'Novelle', 'Person (Radebeul)', 'Person (Schlesien)', 'Person als Namensgeber für einen Asteroiden', 'Person als Namensgeber für einen Merkurkrater', 'Roman, Epik', 'Träger des Bayerischen Maximiliansordens für Wissenschaft und Kunst', 'Träger des Grillparzer-Preises', 'Träger des Pour le Mérite (Friedensklasse)', 'Träger des Roten Adlerordens 4. Klasse']","['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal']","['Gerhart Hauptmann', 'Hauptmann', 'Hauptmanns', 'Gerhart Hauptmanns', 'Gerhart-Hauptmann-Straße']",0.0,1.0,1.0
20066.0,2 October 1782,1782-01-02,SCHWEROT,108.0,"Hr. Hauptmann Römer und Frau & 2 Söhne,",20066.0,4652047.txt,1782-10,55.0,64.0,Hauptmann,0.6957,1965.0,Gerhart Hauptmann,http://de.wikipedia.org/wiki/Gerhart_Hauptmann,Gerhart Hauptmann,"['Alfred Kerr', 'Autobiografie', 'Autor', 'Deutscher', 'Drama', 'Ehrenbürger von Breslau', 'Ehrendoktor der Columbia University', 'Ehrendoktor der Karls-Universität', 'Ehrendoktor der University of Oxford', 'Ehrendoktor der Universität Leipzig', 'Ehrenringträger der Stadt Wien', 'Erzählung', 'Geboren 1862', 'Gerhart Hauptmann', 'Gestorben 1946', 'Literatur (19. Jahrhundert)', 'Literatur (20. Jahrhundert)', 'Literatur (Deutsch)', 'Literatur (Schlesisch)', 'Literatur der Neuromantik', 'Literatur des Naturalismus', 'Lyrik', 'Mann', 'Mitglied der American Academy of Arts and Letters', 'Mitglied der Preußischen Akademie der Künste', 'Mitglied der Reichsschrifttumskammer', 'Mitglied der Sonderliste der Unersetzlichen Künstler', 'Mitglied des Pegnesischen Blumenordens', 'Nobelpreisträger für Literatur', 'Novelle', 'Person (Radebeul)', 'Person (Schlesien)', 'Person als Namensgeber für einen Asteroiden', 'Person als Namensgeber für einen Merkurkrater', 'Roman, Epik', 'Träger des Bayerischen Maximiliansordens für Wissenschaft und Kunst', 'Träger des Grillparzer-Preises', 'Träger des Pour le Mérite (Friedensklasse)', 'Träger des Roten Adlerordens 4. Klasse']","['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal']","['Gerhart Hauptmann', 'Hauptmann', 'Hauptmanns', 'Gerhart Hauptmanns', 'Gerhart-Hauptmann-Straße']",0.0,1.0,1.0
20100.0,3 October 1782,1782-01-03,SCHWERDT,1.0,"Hr. Hauptmann Römer und Frau & 2 Söhne,",20100.0,4652049.txt,1782-10,55.0,64.0,Hauptmann,0.6957,1965.0,Gerhart Hauptmann,http://de.wikipedia.org/wiki/Gerhart_Hauptmann,Gerhart Hauptmann,"['Alfred Kerr', 'Autobiografie', 'Autor', 'Deutscher', 'Drama', 'Ehrenbürger von Breslau', 'Ehrendoktor der Columbia University', 'Ehrendoktor der Karls-Universität', 'Ehrendoktor der University of Oxford', 'Ehrendoktor der Universität Leipzig', 'Ehrenringträger der Stadt Wien', 'Erzählung', 'Geboren 1862', 'Gerhart Hauptmann', 'Gestorben 1946', 'Literatur (19. Jahrhundert)', 'Literatur (20. Jahrhundert)', 'Literatur (Deutsch)', 'Literatur (Schlesisch)', 'Literatur der Neuromantik', 'Literatur des Naturalismus', 'Lyrik', 'Mann', 'Mitglied der American Academy of Arts and Letters', 'Mitglied der Preußischen Akademie der Künste', 'Mitglied der Reichsschrifttumskammer', 'Mitglied der Sonderliste der Unersetzlichen Künstler', 'Mitglied des Pegnesischen Blumenordens', 'Nobelpreisträger für Literatur', 'Novelle', 'Person (Radebeul)', 'Person (Schlesien)', 'Person als Namensgeber für einen Asteroiden', 'Person als Namensgeber für einen Merkurkrater', 'Roman, Epik', 'Träger des Bayerischen Maximiliansordens für Wissenschaft und Kunst', 'Träger des Grillparzer-Preises', 'Träger des Pour le Mérite (Friedensklasse)', 'Träger des Roten Adlerordens 4. Klasse']","['http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal']","['Gerhart Hauptmann', 'Hauptmann', 'Hauptmanns', 'Gerhart Hauptmanns', 'Gerhart-Hauptmann-Straße']",0.0,1.0,1.0
